Name,Description,State,Priority,Labels,Start Date,Target Date,Estimate,Module,Cycle
"Corrigir title default 'Create Next App' em app/layout.tsx","Metadata ainda mostra o titulo padrao do create-next-app no head. Trocar para 'Parrilla 8187 — Reservas' ou equivalente, ajustar tambem a description.",Todo,Urgent,"priority:p0,type:debt,area:public",2026-04-21,2026-04-21,0.25,Seguranca & Saneamento,Sprint 1 - Saneamento de seguranca
"Log de eventos suspeitos (muitas reservas do mesmo IP)","Adicionar log estruturado quando detectar >5 reservas em 10min do mesmo IP. Guardar em tabela audit_log ou enviar para servico externo.",Backlog,Medium,"priority:p2,type:security,area:admin",2026-05-25,2026-05-30,2,Seguranca & Saneamento,Sprint 6 - Anti-abuso
"Trocar senha provisoria do admin@parrilla8187.com.br","Antes de entregar credenciais ao cliente, trocar a senha 'Parrilla8187!' por uma gerada aleatoriamente. Enviar via canal seguro (vault/1Password).",Todo,Urgent,"priority:p0,type:security,area:admin",2026-04-21,2026-04-21,0.25,Autenticacao & Multi-tenancy,Sprint 2 - Admin operavel
"Fluxo 'esqueci minha senha' para admin","Tela + server action usando supabase.auth.resetPasswordForEmail. Enviar email com magic link.",Backlog,Medium,"priority:p2,type:feature,area:admin",2026-05-18,2026-05-23,2,Autenticacao & Multi-tenancy,Sprint 5 - Configuracoes editaveis
"Ativar resolver de tenant dinamico no frontend","Hoje o tenant 'parrilla8187' esta hardcoded em app/reservar/actions.ts. Trocar por resolver via subdomain ou path-prefix (/r/{slug}/...).",Backlog,Low,"priority:p3,type:feature,area:public",2026-05-18,2026-05-23,3,Autenticacao & Multi-tenancy,Sprint 5 - Configuracoes editaveis
"Documentar onboarding de novo tenant","Passo-a-passo: criar tenant no banco, criar establishment, criar business_hours, criar usuario admin, criar tenant_membership.",Backlog,Low,"priority:p3,type:docs,area:admin",2026-05-18,2026-05-23,1,Autenticacao & Multi-tenancy,Sprint 5 - Configuracoes editaveis
"Edicao de configuracoes do tenant (nome, cor, logo)","Form em /admin/configuracoes para editar tenants.name/brand_color/logo_url. Server action com update protegido por role>=manager.",Backlog,Medium,"priority:p2,type:feature,area:admin",2026-05-18,2026-05-23,2,Painel Admin,Sprint 5 - Configuracoes editaveis
"Gerenciar business_hours no admin","UI para abrir/fechar por dia da semana e ajustar slot_duration_minutes. Update direto na tabela business_hours.",Backlog,Medium,"priority:p2,type:feature,area:admin",2026-05-18,2026-05-23,3,Painel Admin,Sprint 5 - Configuracoes editaveis
"Criar slot_blocks manualmente no admin","Permitir bloquear datas/horarios (ex: 'fechado 25/12', 'evento privado dia 10/05'). Insert em slot_blocks.",Backlog,Medium,"priority:p2,type:feature,area:admin",2026-05-18,2026-05-23,2,Painel Admin,Sprint 5 - Configuracoes editaveis
"Adicionar Cloudflare Turnstile (captcha) no form de reserva","Instalar @marsidev/react-turnstile, gerar site key, validar token server-side na createReservationAction.",Backlog,High,"priority:p1,type:security,area:public",2026-05-25,2026-05-30,2,Fluxo Publico de Reserva,Sprint 6 - Anti-abuso
